video_file_name,frame_number,patch_name,connected_component_area,bounding_box_area,initial_plano_featues,initial_query_features,good_matches,very_good_matches,ratio
IBOT.MOV,4700,131,1095,2665,0,0,,,-1
IBOT.MOV,4700,151,6477,13505,0,20,,,-1
IBOT.MOV,4700,161,907,2025,0,0,,,-1
integrity,0
IBOT.MOV,4800,12,8343,20769,409,506,180,1,0.00555556
IBOT.MOV,4800,13,7487,17673,422,311,197,0,0
IBOT.MOV,4800,41,1898,4745,0,0,,,-1
IBOT.MOV,4800,67,3981,8633,37,0,,,0
IBOT.MOV,4800,85,715,1425,0,0,,,-1
IBOT.MOV,4800,121,718,1881,0,0,,,-1
IBOT.MOV,4800,127,1003,2665,0,0,,,-1
IBOT.MOV,4800,143,7008,17945,2,72,,,-1
IBOT.MOV,4800,156,1051,2673,0,0,,,-1
integrity,0
IBOT.MOV,4900,9,8160,22833,529,414,213,23,0.0798122
IBOT.MOV,4900,15,8679,23345,411,520,162,7,0.0432099
IBOT.MOV,4900,61,4874,9801,48,1,0,,0
IBOT.MOV,4900,81,1287,3201,0,0,,,-1
IBOT.MOV,4900,115,858,2009,0,0,,,-1
IBOT.MOV,4900,132,1475,3465,0,0,,,-1
IBOT.MOV,4900,162,952,2337,0,0,,,-1
IBOT.MOV,4900,164,1432,3465,0,0,,,-1
IBOT.MOV,4900,185,6719,14089,1,21,,,-1
IBOT.MOV,4900,189,763,1617,0,0,,,-1
IBOT.MOV,4900,191,1097,2025,0,0,,,-1
integrity,0
IBOT.MOV,5000,3,953,2145,0,0,,,-1
IBOT.MOV,5000,12,7912,17289,264,360,107,9,0.0747664
IBOT.MOV,5000,14,6267,16577,387,289,145,1,0.00689655
IBOT.MOV,5000,28,810,1881,0,0,,,-1
IBOT.MOV,5000,51,4783,11737,64,0,,,0
IBOT.MOV,5000,75,904,2009,0,0,,,-1
IBOT.MOV,5000,107,905,2009,0,0,,,-1
IBOT.MOV,5000,125,1283,2993,0,0,,,-1
IBOT.MOV,5000,135,862,2409,0,0,,,-1
IBOT.MOV,5000,146,1189,2793,0,0,,,-1
IBOT.MOV,5000,152,952,1625,0,0,,,-1
integrity,0
IBOT.MOV,5100,12,8255,20449,360,429,153,17,0.0718954
IBOT.MOV,5100,16,7500,18513,459,348,202,19,0.0346535
IBOT.MOV,5100,56,2046,5929,0,0,,,-1
IBOT.MOV,5100,64,4310,10961,88,2,72,,0
IBOT.MOV,5100,124,953,2145,0,0,,,-1
IBOT.MOV,5100,147,1429,3321,0,0,,,-1
IBOT.MOV,5100,159,6537,16465,0,51,,,-1
integrity,0
IBOT.MOV,5200,66,905,2009,0,0,,,-1
IBOT.MOV,5200,72,1665,4753,0,0,,,-1
IBOT.MOV,5200,132,811,1881,0,0,,,-1
IBOT.MOV,5200,146,951,1881,0,0,,,-1
IBOT.MOV,5200,174,7288,19425,5,116,,,-1
IBOT.MOV,5200,193,1286,2665,0,0,,,-1
integrity,1
IBOT.MOV,5300,37,857,2009,0,0,,,-1
IBOT.MOV,5300,44,859,2009,0,0,,,-1
IBOT.MOV,5300,61,1095,2337,0,0,,,-1
IBOT.MOV,5300,77,4071,9409,42,2,29,,0
IBOT.MOV,5300,78,2094,5785,0,0,,,-1
IBOT.MOV,5300,80,763,2009,0,0,,,-1
IBOT.MOV,5300,101,1095,3185,0,0,,,-1
IBOT.MOV,5300,126,715,1617,0,0,,,-1
IBOT.MOV,5300,158,1617,3969,0,0,,,-1
IBOT.MOV,5300,174,1756,3577,0,0,,,-1
IBOT.MOV,5300,175,1760,4753,0,0,,,-1
